section,date,ymd,paper,author,title,doc_id,nword,nsentence,self_reference,accountability_word_count,investigation_related,documents_reveal,investigation_duration,series_indicated
news,2019-01-03,20190103,Chicago Sun-Times (IL),Madeline Kenney,Chicago Fire sign coach Veljko Paunovic to multi-year contract extension,102263,332,15,0,5,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Georgia Nicols,"Horoscope for Thursday, Jan. 3, 2019",102266,695,76,0,2,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Fran Spielman,Preckwinkle admits receiving Burke’s alleged $10K contribution shakedown,102267,807,44,0,28,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Jason Lieser,"2019 NHL All-Star Game: Patrick Kane happy to go, Jonathan Toews up for vote",102268,650,44,0,5,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Fran Spielman,Water Tower Place imposes ‘parental guidance required’ policy,102269,592,28,0,9,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Josh Dubow | AP,Tickets for College Football Playoff title game available for cheap,102270,730,26,0,6,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),USA TODAY,"Pegi Young, musician, ex-wife of Neil Young, dies at 66",102271,259,13,0,3,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Sam Charles,COPA says threatening email it received was sent by one of its own employees,102272,163,9,0,3,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Lisa Mascaro and Catherine Lucey | AP,No deal to end shutdown; Trump says ‘could be a long time’,102273,1119,56,0,21,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Nancy Trejos | USA TODAY,United Airlines tightens rules on emotional support animals on flights,102274,286,16,0,1,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Dale Bowman,Illinois bowhunters stay ahead of pace during last season: Deer harvest update,102276,521,12,0,5,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),USA TODAY,"Video games, social media are good for kids says author of ‘The New Childhood’",102277,456,28,0,4,0,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Fran Spielman,Fioretti proposes grid system for all street maintenance services,102278,506,22,0,9,1,0,0,0
news,2019-01-03,20190103,Chicago Sun-Times (IL),Jason Lieser,NHL All-Star Game Last Men In: Vote will determine Jonathan Toews’ status,102279,292,22,0,0,0,0,0,0
